rank,character
50, Lindsey Naegle
49, Sherri and Terri
48, Mrs. Hoover
47, Cletus Spuckler
46, Otto Mann
45, Rod and Todd Flanders
44, Kang and Kodos
43, Fat Tony
42, Superintendent Chalmers
41, Frank Grimes
40, Bleeding Gums Murphy
39, Agnes Skinner
38, Mayor Quimby
37, Kent Brockman
36, Gil Gunderson
35, Dr. Nick Riviera
34, Comic Book Guy
33, Sideshow Mel
32, Nelson Muntz
31, Helen Lovejoy
30, Luann Van Houten
29, Carl Carlson
28, Lenny Leonard
27, Dr. Hibbert
26, Chief Wiggum
25, Patty Bouvier
24, Selma Bouvier
23, Martin Prince
22, Barney Gumble
21, Groundskeeper Willie
20, Troy McClure
19, Reverend Lovejoy
18, Lionel Hutz
17, Maggie Simpson
16, Waylon Smithers
15, Ralph Wiggum
14, Edna Krabappel
13, Abraham Simpson
12, Sideshow Bob
11, Charles Montgomery Burns
10, Krusty the Clown
9,Apu Nahasapeemapetilon
8,Moe Syszlak
7,Bart Simpson
6,Seymour Skinner
5,Milhouse Van Houten
4,Ned Flanders
3,Lisa Simpson
2,Homer Simpson
1,Marge Simpson
